Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.52.8-34.122.121.32-44926-80-6,192.168.52.8,44926,34.122.121.32,80,6,24/01/2023 11:43:26 AM,5124185,6,5,174.0,148.0,87.0,0.0,28.999999999999996,44.926606816006036,148.0,0.0,29.6,66.18761213399378,62.839261267889434,2.146682838344049,512418.5,669133.2640965475,2016000.0,19.0,4100027.0,820005.4,773580.1673884873,2016000.0,204.0,5124185.0,1281046.25,1576955.5093179548,3482500.0,52.0,0,0,0,0,208,176,1.1709179118240267,0.9757649265200222,0.0,148.0,26.833333333333332,50.81308588316298,2581.9696969696965,0,1,0,0,0,0,0,0,0.0,29.272727272727273,29.0,29.6,0,0,0,0,0,0,6,174,5,148,-1,508,2,0,0,0,0,0,0,0,0,0,No Label
134.221.96.4-182.219.0.32-0-0-0,134.221.96.4,0,182.219.0.32,0,0,24/01/2023 11:42:58 AM,75121732,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06655863578864236,1.8780433E7,9873359.969395794,2.6112059E7,4204632.0,5.2674709E7,1.7558236333333332E7,1.1715898065271579E7,2.6112059E7,4204632.0,0,0,0,0,0,0,0,0,0,0,0,0.05324690863091389,0.013311727157728473,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,4204632.0,0.0,4204632.0,4204632.0,2.3639033333333332E7,2142165.360914123,2.6112059E7,2.2358018E7,No Label
192.168.52.8-54.148.77.40-33544-443-6,54.148.77.40,443,192.168.52.8,33544,6,24/01/2023 11:44:04 AM,307057,1,3,0.0,66.0,0.0,0.0,0.0,0.0,35.0,0.0,22.0,19.157244060668017,214.94380522183175,13.026897286171621,102352.33333333333,177053.43693454057,306796.0,31.0,0,0,0,0,0,261.0,130.5,140.71424945612296,230.0,31.0,0,1,0,0,32,96,3.2567243215429054,9.770172964628717,0.0,35.0,19.4,17.78482499211055,316.3,0,0,0,1,1,0,0,0,3.0,24.25,0.0,22.0,0,0,0,0,0,0,1,0,3,66,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.0-0.0.0.24-0-0-0,134.221.96.0,0,0.0.0.24,0,0,24/01/2023 11:43:02 AM,98403116,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06097367892293167,1.96806232E7,7829820.011265182,2.7353708E7,6703637.0,7.1049408E7,1.7762352E7,7563708.034649099,2.2746221E7,6703637.0,0,0,0,0,0,0,0,0,0,0,0,0.05081139910244306,0.01016227982048861,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,0,0,0,0,1.96806232E7,7829820.011265182,2.7353708E7,6703637.0,No Label
134.221.96.4-182.219.0.101-0-0-0,134.221.96.4,0,182.219.0.101,0,0,24/01/2023 11:42:56 AM,93214580,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07509554835734925,1.5535763333333332E7,1.2397636274230434E7,3.0042077E7,510438.0,9.2704142E7,1.85408284E7,1.1153412530404778E7,3.0042077E7,598244.0,0,0,0,0,0,0,0,0,0,0,0,0.06436761287772792,0.010727935479621321,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,1,0,-1,-1,0,0,510438.0,0.0,510438.0,510438.0,2.30264745E7,5632466.174026466,3.0042077E7,1.6270096E7,No Label
134.221.96.1-19.216.0.56-0-0-0,134.221.96.1,0,19.216.0.56,0,0,24/01/2023 11:42:46 AM,20250042,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09876522725236817,2.0250042E7,0.0,2.0250042E7,2.0250042E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04938261362618408,0.04938261362618408,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,2.0250042E7,0.0,2.0250042E7,2.0250042E7,No Label
192.168.52.188-224.0.0.251-5353-5353-17,192.168.52.188,5353,224.0.0.251,5353,17,24/01/2023 11:42:57 AM,89790974,7,1,427.0,61.0,61.0,61.0,61.0,0.0,61.0,61.0,61.0,0.0,5.434844709447076,0.08909581490896847,1.2827282E7,9285724.55712703,2.0128666E7,818716.0,8.2013698E7,1.3668949666666666E7,9875171.856107451,2.0128666E7,818716.0,0,0,0,0,0,0,0,0,0,56,8,0.07795883804534741,0.011136976863621058,61.0,61.0,61.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,68.625,61.0,61.0,0,0,0,0,0,0,7,427,1,61,-1,-1,7,0,1841836.0,0.0,1841836.0,1841836.0,1.75898276E7,5486232.36944069,2.0128666E7,7777276.0,No Label
134.221.96.4-14.211.0.32-0-0-0,134.221.96.4,0,14.211.0.32,0,0,24/01/2023 11:44:36 AM,409689,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.881751767804358,409689.0,0.0,409689.0,409689.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.440875883902179,2.440875883902179,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.14-26.231.0.32-0-0-0,134.221.96.14,0,26.231.0.32,0,0,24/01/2023 11:43:32 AM,307689,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.750104813626747,153844.5,217294.62096540723,307495.0,194.0,194.0,194.0,0.0,194.0,194.0,0,0,0,0,0,0,0,0,0,0,0,6.500069875751165,3.2500349378755824,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.52.8-34.122.121.32-44926-80-6,192.168.52.8,44926,34.122.121.32,80,6,24/01/2023 11:43:31 AM,304980,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.557807069316021,304980.0,0.0,304980.0,304980.0,0,0,0,0,0,304980.0,304980.0,0.0,304980.0,304980.0,0,0,0,0,0,64,0.0,6.557807069316021,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,508,0,0,0,0,0,0,0,0,0,0,No Label
